nation,manager,player,position,club,age
Czech Republic,,Matěj Kovář,1 GK,PSV Eindhoven,
Czech Republic,,Jindřich Staněk,1 GK,Slavia Prague,
Czech Republic,,Lukáš Horníček,1 GK,Braga,
Czech Republic,,Vladimír Coufal,2 DF,TSG Hoffenheim,
Czech Republic,,Tomáš Holeš,2 DF,Slavia Prague,
Czech Republic,,Ladislav Krejčí ( captain ),2 DF,Wolverhampton Wanderers,
Czech Republic,,David Zima,2 DF,Slavia Prague,
Czech Republic,,Jaroslav Zelený,2 DF,Sparta Prague,
Czech Republic,,David Jurásek,2 DF,Slavia Prague,
Czech Republic,,David Douděra,2 DF,Slavia Prague,
Czech Republic,,Robin Hranáč,2 DF,TSG Hoffenheim,
Czech Republic,,Štěpán Chaloupek,2 DF,Slavia Prague,
Czech Republic,,Tomáš Souček,3 MF,West Ham United,
Czech Republic,,Vladimír Darida,3 MF,Hradec Králové,
Czech Republic,,Lukáš Provod,3 MF,Slavia Prague,
Czech Republic,,Michal Sadílek,3 MF,Slavia Prague,
Czech Republic,,Pavel Šulc,3 MF,Lyon,
Czech Republic,,Lukáš Červ,3 MF,Viktoria Plzeň,
Czech Republic,,Tomáš Ladra,3 MF,Viktoria Plzeň,
Czech Republic,,Pavel Bucha,3 MF,FC Cincinnati,
Czech Republic,,Hugo Sochůrek,3 MF,Sparta Prague,
Czech Republic,,Alexandr Sojka,3 MF,Viktoria Plzeň,
Czech Republic,,Denis Višinský,3 MF,Viktoria Plzeň,
Czech Republic,,Patrik Schick,4 FW,Bayer Leverkusen,
Czech Republic,,Adam Hložek,4 FW,TSG Hoffenheim,
Czech Republic,,Jan Kuchta,4 FW,Sparta Prague,
Czech Republic,,Tomáš Chorý,4 FW,Slavia Prague,
Czech Republic,,Mojmír Chytil,4 FW,Slavia Prague,
Czech Republic,,Christophe Kabongo,4 FW,Mladá Boleslav,
Mexico,,Guillermo Ochoa,1 GK,AEL Limassol,
Mexico,,Raúl Rangel,1 GK,Guadalajara,
Mexico,,Carlos Acevedo,1 GK,Santos Laguna,
Mexico,,José Antonio Rodríguez,1 GK,Tijuana,
Mexico,,Carlos Moreno,1 GK,Pachuca,
Mexico,,Alex Padilla,1 GK,Athletic Bilbao,
Mexico,,Jesús Gallardo,2 DF,Toluca,
Mexico,,César Montes,2 DF,Lokomotiv Moscow,
Mexico,,Jorge Sánchez,2 DF,PAOK,
Mexico,,Johan Vásquez,2 DF,Genoa,
Mexico,,Israel Reyes,2 DF,América,
Mexico,,Jesús Alberto Angulo,2 DF,UANL,
Mexico,,Julián Araujo,2 DF,Celtic,
Mexico,,Mateo Chávez,2 DF,AZ,
Mexico,,Víctor Guzmán,2 DF,Monterrey,
Mexico,,Richard Ledezma,2 DF,Guadalajara,
Mexico,,Everardo López,2 DF,Toluca,
Mexico,,Alejandro Gómez,2 DF,Tijuana,
Mexico,,Bryan González,2 DF,Guadalajara,
Mexico,,Ramón Juárez,2 DF,América,
Mexico,,Edson Álvarez ( captain ),3 MF,Fenerbahçe,
Mexico,,Orbelín Pineda,3 MF,AEK Athens,
Mexico,,Carlos Rodríguez,3 MF,Cruz Azul,
